        Time                o33
               2.4961488                     0.008605727
               2.4977417                    0.0080898758
               2.4993348                    0.0075440723
               2.5009277                    0.0069697034
               2.5025206                     0.006368258
               2.5041137                    0.0057413243
               2.5057065                     0.005090584
               2.5072994                    0.0044178101
               2.5088923                    0.0037248596
               2.5104854                    0.0030136702
               2.5120783                    0.0022862554
               2.5136712                    0.0015446985
               2.5152643                   0.00079114683
               2.5168571                   2.7805509e-05
                 2.51845                  -0.00074306841
               2.5200431                   -0.0015191727
                2.521636                   -0.0022981667
               2.5232289                   -0.0030776779
                2.524822                   -0.0038553094
               2.5264149                   -0.0046286471
               2.5280077                   -0.0053952662
               2.5296006                   -0.0061527402
               2.5311937                   -0.0068986462
               2.5327866                   -0.0076305745
               2.5343795                   -0.0083461357
               2.5359726                   -0.0090429671
               2.5375655                   -0.0097187413
               2.5391583                    -0.010371176
               2.5407515                    -0.010998036
               2.5423443                    -0.011597144
               2.5439372                    -0.012166391
               2.5455303                    -0.012703736
               2.5471232                     -0.01320722
               2.5487161                     -0.01367497
               2.5503089                    -0.014105203
               2.5519021                    -0.014496236
               2.5534949                    -0.014846494
               2.5550878                    -0.015154511
               2.5566809                    -0.015418936
               2.5582738                    -0.015638543
               2.5598667                    -0.015812231
               2.5614598                    -0.015939033
               2.5630527                    -0.016018115
               2.5646455                    -0.016048782
               2.5662384                    -0.016030485
               2.5678315                    -0.015962817
               2.5694244                    -0.015845528
               2.5710173                     -0.01567851
               2.5726104                    -0.015461812
               2.5742033                    -0.015195636
               2.5757961                     -0.01488034
               2.5773892                    -0.014516435
               2.5789821                    -0.014104588
                2.580575                    -0.013645621
               2.5821681                    -0.013140509
                2.583761                    -0.012590377
               2.5853539                    -0.011996499
               2.5869467                    -0.011360301
               2.5885398                    -0.010683347
               2.5901327                    -0.009967342
               2.5917256                   -0.0092141302
               2.5933187                   -0.0084256865
               2.5949116                   -0.0076041119
               2.5965044                   -0.0067516291
               2.5980976                   -0.0058705769
               2.5996904                   -0.0049634045
               2.6012833                   -0.0040326631
               2.6028764                   -0.0030810004
               2.6044693                   -0.0021111532
               2.6060622                   -0.0011259391
                2.607655                  -0.00012824865
               2.6092482                    0.0008789624
                2.610841                    0.0018926822
               2.6124339                     0.002909851
                2.614027                     0.003927371
               2.6156199                    0.0049421149
               2.6172128                    0.0059509361
               2.6188059                    0.0069506769
               2.6203988                    0.0079381792
               2.6219916                    0.0089102956
               2.6235847                    0.0098638954
               2.6251776                     0.010795879
               2.6267705                     0.011703183
               2.6283634                     0.012582796
               2.6299565                     0.013431761
               2.6315494                     0.014247193
               2.6331422                     0.015026282
               2.6347353                     0.015766304
               2.6363282                     0.016464636
               2.6379211                     0.017118754
               2.6395142                     0.017726252
               2.6411071                     0.018284844
                  2.6427                     0.018792378
               2.6442931                     0.019246839
               2.6458859                     0.019646354
               2.6474788                     0.019989209
               2.6490717                     0.020273848
               2.6506648                     0.020498876
               2.6522577                     0.020663077
               2.6538506                     0.020765405
               2.6554437                     0.020805001
               2.6570365                     0.020781193
               2.6586294                     0.020693492
               2.6602225                     0.020541606
               2.6618154                     0.020325439
               2.6634083                     0.020045092
               2.6650012                     0.019700864
               2.6665943                     0.019293256
               2.6681871                     0.018822964
                 2.66978                     0.018290889
               2.6713731                     0.017698124
                2.672966                     0.017045965
               2.6745589                     0.016335903
                2.676152                     0.015569613
               2.6777449                     0.014748965
               2.6793377                      0.01387601
               2.6809309                     0.012952976
               2.6825237                      0.01198227
               2.6841166                     0.010966461
               2.6857095                    0.0099082841
               2.6873026                    0.0088106254
               2.6888955                    0.0076765181
               2.6904883                    0.0065091345
               2.6920815                    0.0053117769
               2.6936743                    0.0040878667
               2.6952672                     0.002840938
               2.6968603                     0.001574625
               2.6984532                   0.00029265322
               2.7000461                    -0.001001172
               2.7016392                   -0.0023029763
                2.703232                   -0.0036088284
               2.7048249                   -0.0049147508
               2.7064178                   -0.0062167319
               2.7080109                    -0.007510738
               2.7096038                   -0.0087927263
               2.7111967                    -0.010058658
               2.7127898                    -0.011304508
               2.7143826                    -0.012526279
               2.7159755                    -0.013720017
               2.7175686                    -0.014881818
               2.7191615                    -0.016007844
               2.7207544                    -0.017094338
               2.7223475                    -0.018137632
               2.7239404                    -0.019134158
               2.7255332                    -0.020080462
               2.7271261                    -0.020973222
               2.7287192                    -0.021809246
               2.7303121                    -0.022585496
                2.731905                    -0.023299091
               2.7334981                    -0.023947315
                2.735091                    -0.024527637
               2.7366838                    -0.025037711
                2.738277                    -0.025475388
               2.7398698                    -0.025838725
               2.7414627                    -0.026125992
               2.7430558                    -0.026335679
               2.7446487                    -0.026466502
               2.7462416                     -0.02651741
               2.7478344                    -0.026487589
               2.7494276                    -0.026376467
               2.7510204                    -0.026183721
               2.7526133                    -0.025909271
               2.7542064                    -0.025553294
               2.7557993                    -0.025116213
               2.7573922                     -0.02459871
               2.7589853                    -0.024001718
               2.7605782                    -0.023326423
                2.762171                    -0.022574261
               2.7637639                    -0.021746917
                2.765357                     -0.02084632
               2.7669499                    -0.019874644
               2.7685428                    -0.018834293
               2.7701359                    -0.017727908
               2.7717288                    -0.016558351
               2.7733216                    -0.015328703
               2.7749147                    -0.014042255
               2.7765076                      -0.0127025
               2.7781005                     -0.01131312
               2.7796936                   -0.0098779825
               2.7812865                   -0.0084011257
               2.7828794                   -0.0068867491
               2.7844722                   -0.0053391997
               2.7860653                   -0.0037629618
               2.7876582                   -0.0021626444
               2.7892511                  -0.00054296624
               2.7908442                    0.0010912563
               2.7924371                     0.002735124
                 2.79403                    0.0043836692
               2.7956231                    0.0060318708
               2.7972159                    0.0076746698
               2.7988088                    0.0093069822
               2.8004019                     0.010923719
               2.8019948                     0.012519796
               2.8035877                     0.014090155
               2.8051805                     0.015629778
               2.8067737                       0.0171337
               2.8083665                     0.018597027
               2.8099594                     0.020014955
               2.8115525                     0.021382779
               2.8131454                     0.022695912
               2.8147383                     0.023949903
               2.8163314                     0.025140444
               2.8179243                     0.026263392
               2.8195171                     0.027314777
               2.8211102                     0.028290821
               2.8227031                     0.029187949
                2.824296                     0.030002799
               2.8258889                     0.030732237
                2.827482                      0.03137337
               2.8290749                     0.031923547
               2.8306677                     0.032380387
               2.8322608                     0.032741774
               2.8338537                     0.033005863
               2.8354466                     0.033171102
               2.8370397                     0.033236228
               2.8386326                     0.033200275
               2.8402255                     0.033062585
               2.8418183                     0.032822806
               2.8434114                     0.032480896
               2.8450043                     0.032037124
               2.8465972                     0.031492084
               2.8481903                     0.030846676
               2.8497832                     0.030102121
               2.8513761                      0.02925995
               2.8529692                     0.028322009
                2.854562                     0.027290452
               2.8561549                     0.026167737
                2.857748                     0.024956619
               2.8593409                     0.023660149
               2.8609338                     0.022281662
               2.8625267                     0.020824768
               2.8641198                     0.019293346
               2.8657126                     0.017691536
               2.8673055                     0.016023722
               2.8688986                     0.014294524
               2.8704915                     0.012508786
               2.8720844                     0.010671563
               2.8736775                    0.0087881032
               2.8752704                    0.0068638371
               2.8768632                    0.0049043596
               2.8784564                    0.0029154168
               2.8800492                   0.00090288639
               2.8816421                   -0.0011272377
                2.883235                   -0.0031688637
               2.8848281                    -0.005215819
                2.886421                   -0.0072618704
               2.8880138                   -0.0093007423
                2.889607                    -0.011326133
               2.8911998                     -0.01333174
               2.8927927                    -0.015311273
               2.8943858                    -0.017258476
               2.8959787                    -0.019167149
               2.8975716                    -0.021031164
               2.8991647                    -0.022844486
               2.9007576                    -0.024601193
               2.9023504                    -0.026295494
               2.9039433                    -0.027921749
               2.9055364                    -0.029474484
               2.9071293                    -0.030948412
               2.9087222                    -0.032338452
               2.9103153                    -0.033639748
               2.9119081                    -0.034847673
                2.913501                    -0.035957858
               2.9150941                    -0.036966205
                2.916687                    -0.037868902
               2.9182799                    -0.038662426
                2.919873                    -0.039343573
               2.9214659                    -0.039909456
               2.9230587                    -0.040357523
               2.9246516                    -0.040685568
               2.9262447                     -0.04089174
               2.9278376                    -0.040974542
               2.9294305                    -0.040932853
               2.9310236                    -0.040765923
               2.9326165                    -0.040473375
               2.9342093                     -0.04005523
               2.9358025                    -0.039511885
               2.9373953                    -0.038844123
               2.9389882                    -0.038053121
               2.9405811                    -0.037140444
               2.9421742                    -0.036108032
               2.9437671                     -0.03495821
               2.9453599                    -0.033693686
               2.9469531                    -0.032317534
               2.9485459                    -0.030833192
               2.9501388                    -0.029244455
               2.9517319                    -0.027555464
               2.9533248                    -0.025770698
               2.9549177                     -0.02389496
               2.9565108                    -0.021933367
               2.9581037                    -0.019891333
               2.9596965                    -0.017774556
               2.9612894                    -0.015589003
               2.9628825                    -0.013340892
               2.9644754                    -0.011036678
               2.9660683                   -0.0086830314
               2.9676614                   -0.0062868195
               2.9692543                   -0.0038550869
               2.9708471                   -0.0013950352
               2.9724402                    0.0010859979
               2.9740331                    0.0035805609
                2.975626                    0.0060811099
               2.9772191                    0.0085800327
                2.978812                     0.011069669
               2.9804049                     0.013542338
               2.9819977                     0.015990358
               2.9835908                     0.018406071
               2.9851837                     0.020781865
               2.9867766                     0.023110205
               2.9883697                     0.025383646
               2.9899626                     0.027594864
               2.9915555                     0.029736677
               2.9931486                     0.031802069
               2.9947414                     0.033784214
               2.9963343                     0.035676491
               2.9979274                     0.037472513
               2.9995203                     0.039166149
               3.0011132                     0.040751539
               3.0027061                     0.042223118
               3.0042992                     0.043575633
                3.005892                     0.044804163
               3.0074849                     0.045904133
                3.009078                     0.046871338
               3.0106709                     0.047701947
               3.0122638                     0.048392519
               3.0138569                     0.048940033
               3.0154498                      0.04934188
               3.0170426                     0.049595878
               3.0186355                     0.049700294
               3.0202286                     0.049653836
               3.0218215                     0.049455665
               3.0234144                     0.049105406
               3.0250075                     0.048603147
               3.0266004                     0.047949445
               3.0281932                     0.047145326
               3.0297863                     0.046192277
               3.0313792                     0.045092259
               3.0329721                     0.043847691
               3.0345652                     0.042461455
               3.0361581                     0.040936887
                3.037751                     0.039277762
               3.0393438                     0.037488297
               3.0409369                     0.035573136
               3.0425298                     0.033537336
               3.0441227                     0.031386361
               3.0457158                     0.029126052
               3.0473087                     0.026762633
               3.0489016                     0.024302676
               3.0504947                     0.021753101
               3.0520875                     0.019121135
               3.0536804                     0.016414309
               3.0552735                      0.01364043
               3.0568664                      0.01080756
               3.0584593                    0.0079239905
               3.0600522                    0.0049982211
               3.0616453                     0.002038935
               3.0632381                   -0.0009450292
                3.064831                   -0.0039447015
               3.0664241                   -0.0069510089
                3.068017                   -0.0099548018
               3.0696099                     -0.01294688
                3.071203                    -0.015918026
               3.0727959                    -0.018859025
               3.0743887                      -0.0217607
               3.0759819                    -0.024613939
               3.0775747                    -0.027409725
               3.0791676                    -0.030139154
               3.0807605                    -0.032793477
               3.0823536                    -0.035364125
               3.0839465                    -0.037842724
               3.0855393                     -0.04022114
               3.0871325                    -0.042491488
               3.0887253                    -0.044646177
               3.0903182                    -0.046677917
               3.0919113                    -0.048579752
               3.0935042                    -0.050345082
               3.0950971                    -0.051967684
               3.0966902                    -0.053441741
               3.0982831                    -0.054761853
               3.0998759                     -0.05592306
               3.1014688                    -0.056920856
               3.1030619                    -0.057751216
               3.1046548                    -0.058410596
               3.1062477                     -0.05889596
               3.1078408                    -0.059204791
               3.1094337                    -0.059335083
               3.1110265                    -0.059285384
               3.1126196                    -0.059054777
               3.1142125                    -0.058642894
               3.1158054                    -0.058049921
               3.1173983                    -0.057276595
               3.1189914                    -0.056324217
               3.1205842                    -0.055194642
               3.1221771                     -0.05389028
               3.1237702                    -0.052414089
               3.1253631                    -0.050769575
                3.126956                    -0.048960775
               3.1285491                    -0.046992257
                3.130142                     -0.04486911
               3.1317348                     -0.04259691
                3.133328                    -0.040181741
               3.1349208                    -0.037630148
               3.1365137                    -0.034949139
               3.1381066                    -0.032146152
               3.1396997                    -0.029229052
               3.1412926                    -0.026206089
               3.1428854                    -0.023085892
               3.1444786                    -0.019877432
               3.1460714                    -0.016590005
               3.1476643                    -0.013233202
               3.1492574                   -0.0098168803
               3.1508503                   -0.0063511371
               3.1524432                   -0.0028462764
               3.1540363                   0.00068721769
               3.1556292                    0.0042387145
                3.157222                    0.0077974675
               3.1588149                     0.011352649
                3.160408                     0.014893379
               3.1620009                     0.018408762
               3.1635938                     0.021887917
               3.1651869                     0.025320012
               3.1667798                     0.028694304
               3.1683726                     0.032000162
               3.1699657                     0.035227105
               3.1715586                     0.038364843
               3.1731515                      0.04140329
               3.1747446                     0.044332616
               3.1763375                     0.047143266
               3.1779304                        0.049826
               3.1795232                     0.052371915
               3.1811163                     0.054772481
               3.1827092                     0.057019562
               3.1843021                     0.059105452
               3.1858952                     0.061022889
               3.1874881                     0.062765092
                3.189081                     0.064325787
               3.1906741                     0.065699205
               3.1922669                     0.066880129
               3.1938598                     0.067863904
               3.1954529                     0.068646446
               3.1970458                     0.069224276
               3.1986387                      0.06959451
               3.2002316                     0.069754891
               3.2018247                     0.069703795
               3.2034175                     0.069440231
               3.2050104                     0.068963856
               3.2066035                     0.068274975
               3.2081964                      0.06737455
               3.2097893                      0.06626419
               3.2113824                      0.06494616
               3.2129753                     0.063423373
               3.2145681                     0.061699372
                3.216161                     0.059778351
               3.2177541                     0.057665128
                3.219347                      0.05536513
               3.2209399                     0.052884385
                3.222533                     0.050229508
               3.2241259                     0.047407687
               3.2257187                      0.04442665
               3.2273118                     0.041294653
               3.2289047                     0.038020469
               3.2304976                     0.034613345
               3.2320907                      0.03108298
               3.2336836                     0.027439509
               3.2352765                     0.023693463
               3.2368693                     0.019855741
               3.2384624                     0.015937582
               3.2400553                     0.011950525
               3.2416482                    0.0079063866
               3.2432413                    0.0038172146
               3.2448342                  -0.00030474202
               3.2464271                   -0.0044470709
               3.2480202                   -0.0085972324
                3.249613                    -0.012742599
               3.2512059                    -0.016870495
                3.252799                     -0.02096823
               3.2543919                    -0.025023144
               3.2559848                     -0.02902264
               3.2575777                    -0.032954227
               3.2591708                    -0.036805566
               3.2607636                    -0.040564492
               3.2623565                    -0.044219065
               3.2639496                    -0.047757603
               3.2655425                    -0.051168717
               3.2671354                    -0.054441363
               3.2687285                    -0.057564847
               3.2703214                    -0.060528889
               3.2719142                    -0.063323647
               3.2735074                    -0.065939747
               3.2751002                    -0.068368308
               3.2766931                    -0.070600986
                3.278286                    -0.072629981
               3.2798791                    -0.074448094
                3.281472                    -0.076048739
               3.2830648                    -0.077425942
                3.284658                    -0.078574397
               3.2862508                    -0.079489462
               3.2878437                    -0.080167204
               3.2894368                    -0.080604382
               3.2910297                    -0.080798477
               3.2926226                    -0.080747694
               3.2942154                    -0.080450989
               3.2958086                    -0.079908073
               3.2974014                    -0.079119392
               3.2989943                    -0.078086145
               3.3005874                      -0.0768103
